तौजी नo,खाता नo,खसरा नo, लोकेशन , एरिया(डीo), Schedule A, Schedule B ,Group No, Status,Note A,Note B
4656,448,5169,Geruari and Janani Kita,18,9,9,16,Done
4656,455,2626,Dhongar Par tedhki Ke satal,27,27,0,5,Done
4656,465,5184,Pokhra Ke Pass,13,13,0,15,Done
4656,473,5189,Sagwan Wala Beni Singh Wala,11,0,11,17,Done
4656,475,5172,Bangla Ke Osara,3,1.5,1.5,0,Done
4656,475,5192,Pokhra Ke Purab,15.5,0,15.5,15,Done
4656,475,5181,Pokhra ke Uttar Surender Singh Ke Aari,11,0,11,15,Done
4656,504,2631,Dakhinwari Moriyar Ke Purab,13,13,0,5,Done
4656,505,3693,GulGuliwa Wala Gabda (CH),13.5,6.75,6.75,Road,Done
4656,510,5171,Bangla Ke pachim Kanta Wala,13.5,6.75,6.75,16,Done
4656,518,5899,Sota Kinare Ahara Me,23,13.5,9.5,13,B Ko Dakhin Se dena hai
4656,531,5239,Puranki Khalihan Ke Pass,2,2,0,17,Done
4656,548,5167,Bhatha Wala Hata Ke Piche(CH),7.5,3.75,3.75,16,Done
4656,559,5195,Ganj Ke Paschim Khalihan Pokhra Wala ,17,7.25,9.75,15,Done
4656,559,5125,Supan Ke Ghar Ke Piche,13,0,13,12,Done
4656,559,5107,Jagpati Singh Ke kuan Dih,25,12.5,12.5,12,Done
4656,559,2652,Badki Pokhra,74,64.5,9.5,6,Done
4656,560,655,kiyari me geda,93,36.5,56.5,3,Done
4656,560,672,Thakurwari se aage milan chadar par,25,25,0,4,Done
4656,560,5870,Tipua par badki geda,190.5,123.5,67,7,Done
4656,560,5870,Tipua par badki geda (CH),145,0,145,7,Done
4656,560,5870,Tipua par badki geda,135.5,0,135.5,7,Done
4656,560,5864,Madaran Mia,9,9,0,10,Done
4656,560,5910,Sota par ahara,95,95,0,7,Done
4656,560,5912,Malaha Wala,18,18,0,7,Done
4656,560,5847,Tedhaki aari,76.5,0,76.5,10,Done
4656,560,5864,Tedhaki Ke satal me,74,74,0,10,Done
4656,560,5233,Pora wala paeen ke uttar puranki khalihan,4,0,4,17,Done
4656,560,5235,paeen ke uttar puranki khalihan,8,0,8,17,Done
4656,560,5240,paeen ke uttar puranki khalihan,11,11,0,17,Done
4656,560,5880,Aahara nav bigahwa me,66,33,33,8,Done
4656,560,5864,Madaran mia tedhki ke satal(CH),40,40,0,10,Done
4656,560,2770,Badaki Pokhra ke uppar,13,0,13,6,Done
4656,560,2615,Lal Mochi Purab bhar,43.5,13.5,30,5,Done
4656,560,2791,High School uttar sadak kinare,19,9.5,9.5,Road,Done
4656,560,2615,Dhongar Par Kamlesh Ke jimme,5,5,0,5,Done
4656,560,2792,High School Sadak Kinare,20,10,10,Road,Done
4656,560,2615,Dhongar Par,13,13,0,5,Done
4656,565,5238,Puranki Khalihan,6,6,0,17,Done
4656,570,5911,Sota Par,45,45,0,7,Done
4656,570,5916,Chav Bigahwa Ahara Me,33,33,0,7,Done
4656,606,5812,Lohara Wala Ahara Me (CH),108,57.25,50.75,10,Done
4656,652,5917,Sota Par Teen Bigahwa Me,33,33,0,7,Done
4656,652,2627,Dhongar Par Puranka Moriyar Sanjay,36,36,0,5,Done
4656,654,5168,Bhatha Wala Haata,4,2,2,16,Done
4656,658,5196,Ganj Ke Paschim Pokhra,8,8,0,15,Done
4656,659,656,Kiyari me geda (CH),96,48,48,3,Done
4656,660,2769,Badaki Pokhra Ke purab bachhan jimme(CH),26,0,26,6,Done
4656,660,2769,Badaki Pokhra Ke purab bachhan jimme(CH 3),16,0,16,6,Done
4656,678,5173,Bangala Ke aangan ,2.5,1.25,1.25,0,Done
4656,678,5180,Pokhra Ke paas,13,0,13,15,Done
4656,680,5914,Chav Bigahwa aahra me,19,9.5,9.5,13,Done
4656,697,5845,Tedhaki Me dakhin bhar,25,0,25,10,Done
4656,702,5846,Tedhki me dakhin bhar,9,0,9,10,Done
4964,854,5174,Boringwala Bangla Kua wala,3,1.5,1.5,0,Done
4964,854,1460,Milan Chadar 2 aur 3 Purab bhar sanjay jimme,89,0,89,5,Done
4964,854,2625,Lal Mochi Purab Bhar,21,21,0,5,Done
4964,854,2628,Bichla Moriyar se paschim,24.5,24.5,0,5,Done
4964,854,1465,Lal Mochi Purab Bhar,15,0,15,5,Done
4964,854,1470,Lal Mochi purab bhar,19,0,19,5,Done
4656,600,5853(RCH),Ahara Me Lal Kesar(RCH),19,19,0,10,Done
4656,487,5865,Ahara Me Tedhaki me,32,0,32,13,Done
4656,487,5856,Lohara Wala Me kuch badlain,38,0,38,10,Done
4656,487,5887,Nav Bigahwa Ahara Me,28,28,0,13,Done
4429,174,4407(RCH),Ghoghan Ghar Ke Paschim(RCH),8,8,0,9,Done
4429,174,4411,Dhibra Par,6,6,0,9,Done
4429,174,4451,Gowari Rasta Ke Dakshin,22,11,11,11,Done
4656,236,608,Dulla Ji Wala Pain Kinare,41,16.5,24.5,11,Done
4656,275,607,Dulla Ji Pain Kinare,8,8,0,11,Done
4656,275,48(RCH),Nimheta Uttarwari Geda(RCH),44,27.5,16.5,1,Done
4656,275,56(RCH),Nimheta Uttarwari Geda(RCH),11,0,11,1,Done
4656,723,5194(RCH),Ganj Wala Paschim(RCH),5.5,0,5.5,15,Done
4656,448,5170,Jagpati Singh Wala Hata,11,5.5,5.5,16,Done
4656,559,5207,Purani Khalihan,9.75,9.75,0,17,Done
4429,173  ,5337,Ganaura wala Sabji hata,2,0,2,17,Done
4656,723,5121,Dustoli Andar Babul ped wala(RCH),10,5,5,17,Done
4656,692,632(RCH),Kiyari me(RCH),7.5,0,7.5,17,Done
,,,Total Area,4085.25,2042.50,2043.75,,
